0,38
1,38
2,44
3,34
4,35
5,46
6,37
7,38
8,40
9,46
10,34
11,37
12,54
13,31
14,31
15,37
16,28
17,34
18,28
19,31
20,31
21,33
22,34
23,37
24,41
25,34
26,26
27,17
28,29
29,15
30,17
31,20
32,26
33,16
34,30
35,22
36,17
37,27
38,24
39,29
40,26
41,35
42,40
43,26
44,23
45,35
46,22
47,34
48,25
49,29
50,26
51,35
52,34
53,33
54,34
55,40
56,40
57,44
58,27
59,28
60,37
61,29
62,33
63,33
64,34
65,43
66,30
67,31
68,28
69,29
70,28
71,28
72,28
73,30
74,32
75,32
76,34
77,31
78,41
79,37
80,43
81,37
82,37
83,42
84,37
85,37
86,33
87,29
88,31
89,35
90,42
91,30
92,33
93,35
94,39
95,37
96,36
97,31
98,30
99,32
100,31
101,30
102,39
103,43
104,33
105,47
106,36
107,50
108,47
109,47
110,47
111,53
112,49
113,51
114,49
115,43
116,41
117,45
118,45
119,45
120,43
121,39
122,38
123,42
124,38
125,38
126,24
127,32
128,40
129,32
130,38
131,42
132,38
133,42
134,29
135,40
136,30
137,39
138,39
139,39
140,37
141,33
142,37
143,41
144,32
145,41
146,43
147,41
148,50
149,42
150,40
151,42
152,40
153,38
154,42
155,42
156,42
157,48
158,48
159,43
160,37
161,34
162,35
163,33
164,42
165,43
166,42
167,41
168,42
169,40
170,40
171,45
172,49
173,48
174,46
175,40
176,38
177,33
178,26
179,35
180,32
181,40
182,46
183,40
184,41
185,41
186,41
187,41
188,45
189,37
190,47
191,39
192,33
193,31
194,35
195,37
196,34
197,32
198,29
199,41
200,29
201,30
202,37
203,40
204,31
205,31
206,28
207,28
208,29
209,34
210,41
211,25
212,26
213,28
214,33
215,34
216,28
217,31
218,31
219,34
220,35
221,35
222,38
223,40
224,35
225,30
226,37
227,31
228,32
229,38
230,24
231,33
232,24
233,31
234,27
235,27
236,25
237,25
238,26
239,27
240,36
241,33
242,31
243,23
244,27
245,23
246,21
247,29
248,13
249,17
250,18
251,26
252,18
253,21
254,26
255,19
256,23
257,29
258,24
259,33
260,28
261,29
262,33
263,38
264,40
265,34
266,35
267,39
268,33
269,31
270,38
271,42
272,30
273,43
274,33
275,32
276,34
277,38
278,40
279,44
280,40
281,44
282,43
283,43
284,52
285,45
286,39
287,30
288,19
289,21
290,26
291,18
292,29
293,32
294,20
295,23
296,18
297,27
298,24
299,31
300,35
301,39
302,32
303,35
304,33
305,40
306,33
307,37
308,47
309,34
310,23
311,23
312,38
313,23
314,28
315,22
316,22
317,30
318,20
319,30
320,27
321,23
322,34
323,31
324,22
325,22
326,25
